태풍명,영문명,영향도,활동년도,활동시기
파북,PABUK,2,2001,8
라마순,RAMMASUN,1,2002,6
나크리,NAKRI,2,2002,7
펑셴,FENGSHEN,2,2002,7
루사,RUSA,1,2002,8
린파,LINFA,2,2003,5
소델로,SOUDELOR,2,2003,6
아타우,ETAU,2,2003,8
매미,MAEMI,1,2003,9
민들레,MINDULLE,2,2004,6
남테우른,NAMTHEUN,2,2004,7
메기,MEGI,2,2004,8
차바,CHABA,2,2004,8
송다,SONGDA,2,2004,8
나비,NABI,2,2005,8
에위니아,EWINIAR,1,2006,7
우쿵,WUKONG,2,2006,8
산산,SHANSHAN,2,2006,9
마니,MAN-YI,2,2007,7
우사기,USAGI,2,2007,7
나리,NARI,1,2007,9
갈매기,KALMAEGI,2,2008,7
뎬무,DIANMU,1,2010,8
곤파스,KOMPASU,1,2010,8
말로,MALOU,2,2010,9
메아리,MEARI,2,2011,6
무이파,MUIFA,2,2011,7
탈라스,TALAS,2,2011,8
카눈,KHANUN,1,2012,7
담레이,DAMREY,2,2012,7
덴빈,TEMBIN,1,2012,8
볼라벤,BOLAVEN,2,2012,8
산바,SANBA,1,2012,9
리피,LEEPI,2,2013,6
콩레이,KONG-REY,2,2013,8
다나스,DANAS,2,2013,10
너구리,NEOGURI,2,2014,7
할롱,HALONG,2,2014,7
나크리,NAKRI,2,2014,7
봉퐁,VONGFONG,2,2014,10
찬홈,CHAN-HOM,2,2015,6
낭카,NANGKA,2,2015,7
할롤라,HALOLA,2,2015,7
고니,GONI,2,2015,8
말라카스,MALAKAS,2,2016,9
차바,CHABA,1,2016,9
난마돌,NANMADOL,2,2017,7
노루,NORU,2,2017,7
탈림,TALIM,2,2017,9
쁘라삐룬,PRAPIROON,2,2018,6
룸비아,RUMBIA,2,2018,8
솔릭,SOULIK,1,2018,8
짜미,TRAMI,2,2018,9
콩레이,KONG-REY,1,2018,9
다나스,DANAS,2,2019,7
프란시스코,FRANCISCO,1,2019,8
레끼마,LEKIMA,2,2019,8
크로사,KROSA,2,2019,8
링링,LINGLING,2,2019,9
타파,TAPAH,2,2019,9
미탁,MITAG,1,2019,9
장미,JANGMI,1,2020,8
바비,BAVI,2,2020,8
마이삭,MAYSAK,1,2020,8
하이선,HAISHEN,1,2020,9
루핏,LUPIT,2,2021,8
오마이스,OMAIS,1,2021,8
찬투,CHANTHU,2,2021,9
에어리,AERE,2,2022,7
송다,SONGDA,2,2022,7
트라세,TRASES,2,2022,7
힌남노,HINNAMNOR,1,2022,8
난마돌,NANMADOL,2,2022,9
카눈,KHANUN,1,2023,7
종다리,JONGDARI,2,2024,8
산산,SHANSHAN,2,2024,8
